title,link,relevance_score
"Jobs in Kilifi,",https://www.fuzu.com/kenya/job/kilifi,0
"Jobs in Siaya,",https://www.fuzu.com/kenya/job/siaya,0
"Construction,",https://www.fuzu.com/kenya/job/construction,0
"Business, strategic management,",https://www.fuzu.com/kenya/job/business-strategic-management,0
"Agriculture, fishing, forestry, wildlife,",https://www.fuzu.com/kenya/job/agriculture-fishing-forestry,0
"Customer support, client care,",https://www.fuzu.com/kenya/job/customer-support-client-care,0
"Energy, power,",https://www.fuzu.com/kenya/job/energy-power,0
"Engineering, architecture,",https://www.fuzu.com/kenya/job/engineering-architecture,0
"Electrical engineering,",https://www.fuzu.com/kenya/job/electrical-engineering,0
"Design, arts,",https://www.fuzu.com/kenya/job/design-arts,0
"General management, leadership,",https://www.fuzu.com/kenya/job/general-management-leadership,0
"Food, nutrition,",https://www.fuzu.com/kenya/job/food-nutrition,0
"Installation, maintenance, repair,",https://www.fuzu.com/kenya/job/installation-maintenance-repair,0
"Legal,",https://www.fuzu.com/kenya/job/legal,0
"Manufacturing, operations, quality,",https://www.fuzu.com/kenya/job/manufacturing-operations-quality,0
ICT Assistant III - 3 Posts at Kenya Rural Roads Authority,https://www.myjobmag.co.ke/job/ict-assistant-iii-3-posts-kenya-rural-roads-authority,0
"Business Analyst (Data Scientist), Regulatory Technology (Business Analyst 2) at Central Bank of Kenya",https://www.myjobmag.co.ke/job/business-analyst-data-scientist-regulatory-technology-business-analyst-2-central-bank-of-kenya,0
Data & Insights Officer at Dignitas,https://www.myjobmag.co.ke/job/data-insights-officer-dignitas,0
"Medical, health,",https://www.fuzu.com/kenya/job/medical-health,0
"Media, communications, languages,",https://www.fuzu.com/kenya/job/media-communications-languages,0
"Mechanical engineering,",https://www.fuzu.com/kenya/job/mechanical-engineering,0
"Project, program management,",https://www.fuzu.com/kenya/job/project-program-management,0
"Security,",https://www.fuzu.com/kenya/job/security,0
"Skilled, manual labor,",https://www.fuzu.com/kenya/job/skilled-manual-labor,0
"Restaurant, hospitality, travel,",https://www.fuzu.com/kenya/job/restaurant-hospitality-travel,0
"Research, academy,",https://www.fuzu.com/kenya/job/research-academy,0
"Telecommunications,",https://www.fuzu.com/kenya/job/telecommunication,0
"Transportation, logistics, driving,",https://www.fuzu.com/kenya/job/transportation-logistics-driving,0
"Aeronautics,",https://www.fuzu.com/kenya/job/aeronautics,0
"Agriculture, fishing, forestry,",https://www.fuzu.com/kenya/job/agriculture-fishing,0
"Arts, design,",https://www.fuzu.com/kenya/job/arts-design,0
"Automotive,",https://www.fuzu.com/kenya/job/automotive,0
"Sports, beauty, wellbeing,",https://www.fuzu.com/kenya/job/health-sports-beauty,0
"Sales, marketing, promotion,",https://www.fuzu.com/kenya/job/sales-marketing-promotion,0
"Beauty, cosmetics,",https://www.fuzu.com/kenya/job/beauty-cosmetics,0
"Banking, microfinance, insurance,",https://www.fuzu.com/kenya/job/banking-microfinance,0
"Construction, renovation, maintenance,",https://www.fuzu.com/kenya/job/construction-renovation,0
"Communications, media, radio, tv,",https://www.fuzu.com/kenya/job/communications-media,0
"Consulting, business support, auditing,",https://www.fuzu.com/kenya/job/consulting-business,0
"Education, academic,",https://www.fuzu.com/kenya/job/education-academic,0
"Energy, utilities, environment,",https://www.fuzu.com/kenya/job/energy-utilities,0
"Entertainment, events,",https://www.fuzu.com/kenya/job/entertainment-events,0
"Finance & FinTech,",https://www.fuzu.com/kenya/job/finance-fintech,0
"Financial Services,",https://www.fuzu.com/kenya/job/financial-services,0
"Governmental,",https://www.fuzu.com/kenya/job/governmental,0
"Health care, medical,",https://www.fuzu.com/kenya/job/health-care,0
"Housekeeping, maintenance,",https://www.fuzu.com/kenya/job/housekeeping-maintenance,0
"Legal, accounting,",https://www.fuzu.com/kenya/job/legal-accounting,0
